BNUM 	NAME		LAT	 LONG	    ELEV(m)    INSTALL_DATE    CH0(EofN)	BSM_Depth(m) SEISMOMETER_Depth(m) PORE_DEPTH(m) DATA_START DATA_END	GAP(m)	L_DATE		L0(cnts)	 L1(cnts)	 L2(cnts)	 L3(cnts)	REGION
B001 golbeck01bwa2005 48.04307	-123.13141 237.0	2005-06-29	200.2		152.9		144.4		   20.6		2005:180 -> Present	0.0002	2005:194	50935230	50185604	50654939	51914278	PacificNorthWest
B003 floequarybwa2005 48.06236	-124.14086 284.7	2005-06-21	250.7		169.8		159.7	   	   50.3		2007:303 -> Present	0.0002	2005:186	48337769	54102554	48683869	48835069	PacificNorthWest
B004 hokofallsbwa2005 48.20193	-124.42701 30.0		2005-06-15	168.2		166.1		156.1	   	   3.4		2005:166 -> Present	0.0002	2005:180	48391551	49872537	49840454	49541470	PacificNorthWest
B005 shoresnw1bwa2005 48.05955	-123.50328 302.7	2005-07-19	319.7		161.2		153.0	   	   44.5		2005:203 -> Present	0.0002	2005:257	50378161	50000351	48306023	49183054	PacificNorthWest
B006 shoresne2bwa2005 48.05880	-123.50080 302.0	2005-07-28	Unknown		156.7		150.1		   NA		2005:213 -> Present	0.0002	2006:001	50504563	51309300	51621626	51142483	PacificNorthWest
B007 shoresso3bwa2005 48.05758	-123.50411 293.0	2005-07-23	193.0		140.0		131.8		   NA		2005:208 -> Present	0.0002	2005:215	51542275	50794188	51481678	49913220	PacificNorthWest
B009 pacgeosi1bbc2005 48.64867	-123.45117 15.0		2005-09-14	271.4		225.3		217.6		   NA		2005:276 -> Present	0.0002	2005:291	48862153	48194612	48948980	47890366	Vancouver
B010 pacgeosi2bbc2005 48.65017	-123.45133 5.0		2005-09-26	267.8		199.0		193.2		   13.4		2005:277 -> Present	0.0002	2005:291	49904133	49226965	51520051	50941792	Vancouver
B011 pacgeosi3bbc2005 48.64954	-123.44819 22.0		2005-09-13	Unknown		225.3		217.6	   	   11.9		2005:277 -> Present	0.0002	2005:291	51220074	50645382	51731087	51564955	Vancouver
B012 ucluelet1bbc2005 48.92463	-125.54198 13.0		2005-09-22	329.4		170.1		162.7	   	   13.4		2005:276 -> Present	0.0002	2005:291	51330423	50842061	49996403	48381133	Vancouver
B013 pnycrk013bwa2007 47.81300	-122.91080 75.3		2007-01-05	231.7		168.4		162.3		   NA		2007:005 -> Present	0.0001	2007:066	46998587	47874785	49659694	45766462	PacificNorthWest
